,n_products,n_brands,n_reviews,n_firststar,n_secondstar,n_thirdstar,n_fourstar,n_fivestar,price,avg_reviews,n_brand,avg_review,price_v
Cetearyl Alcohol,127,"[Jack Black, DERMAdoctor, Caolion, Kate Somerville, Cane + Austin, Caolion, philosophy, Too Cool For School, Perricone MD, philosophy, Dr. Dennis Gross Skincare, Tria, Eve Lom, Perricone MD, belif, Jurlique, Human + Kind, Supergoop!, philosophy, Too Cool For School, Algenist, Perricone MD, Omorovicza, Human + Kind, AmorePacific, Kate Somerville, Kate Somerville, First Aid Beauty, Dr. Jart+, belif, Clarins, Omorovicza, KORRES, L’Occitane, Clarins, Murad, KORRES, Peter Thomas Roth, L’Occitane, Algenist, Murad, First Aid Beauty, REN, Blithe, Lancôme, Caudalie, Clarins, NUDE Skincare, DERMAdoctor, Dr. Brandt Skincare, REN, St. Tropez Tanning Essentials, Omorovicza, belif, Origins, Origins, Origins, Murad, REN, First Aid Beauty, belif, Laura Mercier, Perricone MD, Lancer, REN, belif, REN, Erborian, Anthony, Fresh, First Aid Beauty, Dr. Jart+, Origins, Drunk Elephant, belif, Josie Maran, GLAMGLOW, Dr Roebuck’s, Caudalie, IT Cosmetics, Perricone MD, philosophy, Ole Henriksen, Fresh, Herbivore, KORRES, Ole Henriksen, Murad, Perricone MD, Dr. Dennis Gross Skincare, KORRES, First Aid Beauty, philosophy, AmorePacific, Algenist, Algenist, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Perricone MD, philosophy, ...]",21474.0,1209.0,1131.0,1479.0,3624.0,10296.0,"[38.0, 65.0, 40.0, 175.0, 80.0, 38.0, 47.0, 20.0, 69.0, 16.0, 42.0, 65.0, 68.0, 115.0, 46.0, 44.0, 0.0, 30.0, 47.0, 17.0, 70.0, 290.0, 260.0, 0.0, 100.0, 150.0, 150.0, 22.0, 60.0, 58.0, 86.0, 235.0, 36.0, 28.0, 88.0, 78.0, 58.0, 98.0, 42.0, 115.0, 55.0, 30.0, 48.0, 49.0, 86.0, 39.0, 134.0, 0.0, 57.0, 59.0, 38.0, 30.0, 160.0, 38.0, 59.0, 65.0, 62.0, 40.0, 38.0, 20.0, 38.0, 53.0, 85.0, 155.0, 65.0, 38.0, 50.0, 55.0, 30.0, 45.0, 30.0, 52.0, 43.0, 60.0, 38.0, 36.0, 69.0, 45.0, 76.0, 48.0, 135.0, 47.0, 55.0, 92.0, 58.0, 48.0, 48.0, 72.0, 75.0, 72.0, 68.0, 24.0, 65.0, 150.0, 94.0, 96.0, 78.0, 58.0, 75.0, 39.0, ...]","[4.0, 4.1429, 3.75, 0.0, 4.5, 4.2083, 2.8378, 4.3043, 3.3, 0.0, 2.614, 5.0, 3.5714, 4.0, 4.3636, 4.1778, 3.8333, 4.25, 0.0, 3.2857, 3.2414, 4.0345, 3.5, 3.0, 4.2846, 4.125, 4.125, 4.1505, 5.0, 5.0, 3.9524, 4.3846, 4.3082, 4.3913, 4.0854, 3.8, 4.1628, 4.0, 4.675, 4.5714, 3.9057, 3.9259, 4.2154, 4.6316, 5.0, 4.1215, 4.5, 3.7708, 4.2283, 4.2432, 3.8485, 3.4545, 4.0, 4.2609, 3.0, 4.2083, 4.0909, 3.7568, 4.3934, 4.6667, 3.8333, 4.1364, 3.72, 4.6, 4.1591, 4.2593, 4.3333, 5.0, 4.3333, 4.2725, 4.596, 4.1304, 4.3472, 4.4468, 4.5573, 4.0435, 4.2721, 4.8095, 4.7273, 4.6538, 3.7952, 4.0538, 4.2459, 4.0448, 3.8071, 4.2586, 4.0056, 4.4519, 4.2579, 4.1625, 4.0339, 4.2091, 3.8125, 4.1667, 4.4619, 4.3546, 4.3426, 4.037, 4.4722, 3.9262, ...]",48.0,4.04207165354,69.0472440945
Sorbitan Olivate,22,"[Jack Black, Marula, VERSO SKINCARE, Too Cool For School, Dr. Jart+, VERSO SKINCARE, Omorovicza, belif, Omorovicza, Omorovicza, REN, Omorovicza, Eve Lom, Farmacy, Tata Harper, belif, Dr. Jart+, AmorePacific, Murad, Perricone MD, Origins, Omorovicza]",2636.0,153.0,189.0,231.0,495.0,1572.0,"[38.0, 68.0, 100.0, 49.0, 39.0, 100.0, 260.0, 58.0, 235.0, 135.0, 38.0, 160.0, 72.0, 40.0, 85.0, 38.0, 36.0, 150.0, 48.0, 75.0, 52.0, 135.0]","[4.0, 4.4375, 4.25, 3.4615, 3.6471, 4.3, 3.5, 5.0, 4.3846, 4.7143, 3.8485, 4.0, 1.0, 3.3873, 3.3684, 4.5573, 4.163, 4.1667, 4.325, 4.4722, 4.2403, 4.1467]",15.0,3.97138181818,91.4090909091
Dimethicone/Vinyl Dimethicone Crosspolymer,530,"[Jack Black, Algenist, Anthony, Eve Lom, Caolion, Kate Somerville, Kate Somerville, Cane + Austin, belif, belif, belif, Caolion, philosophy, philosophy, philosophy, philosophy, L’Occitane, Perricone MD, Perricone MD, Perricone MD, Kenzoki, Origins, Origins, Origins, Origins, Origins, Origins, Shiseido, Origins, philosophy, Lancôme, Lancôme, philosophy, philosophy, Ole Henriksen, Ole Henriksen, Dr. Dennis Gross Skincare, Lancôme, MDSolarSciences, Laura Mercier, Laura Mercier, Dr. Jart+, Dr. Jart+, Dr. Jart+, Erno Laszlo, Erno Laszlo, philosophy, Tria, Tria, Tria, philosophy, philosophy, Perricone MD, Perricone MD, Too Cool For School, Too Cool For School, Kenzoki, Kenzoki, belif, belif, philosophy, philosophy, philosophy, philosophy, belif, Dr. Jart+, Lancôme, Caolion, Dr. Jart+, Dr. Jart+, Dr. Jart+, Dr. Jart+, First Aid Beauty, Supergoop!, Guerlain, philosophy, Erborian, Erborian, Erborian, Erborian, Erborian, Algenist, Shiseido, Erborian, Dr. Jart+, Dr. Jart+, Dr. Jart+, Dr. Jart+, Perricone MD, Perricone MD, Dr. Brandt Skincare, SK-II, SK-II, SK-II, SK-II, SK-II, Tria, Tria, First Aid Beauty, AmorePacific, ...]",103186.0,7418.0,7188.0,8431.0,19347.0,46586.0,"[38.0, 48.0, 38.0, 75.0, 40.0, 175.0, 175.0, 80.0, 48.0, 48.0, 48.0, 38.0, 47.0, 47.0, 22.0, 22.0, 116.0, 69.0, 69.0, 69.0, 45.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 25.0, 53.0, 75.0, 97.0, 97.0, 16.0, 16.0, 22.0, 22.0, 42.0, 104.0, 68.0, 98.0, 98.0, 48.0, 48.0, 48.0, 115.0, 115.0, 14.0, 65.0, 65.0, 65.0, 50.0, 50.0, 115.0, 115.0, 49.0, 49.0, 49.0, 49.0, 46.0, 46.0, 35.0, 35.0, 35.0, 35.0, 42.0, 50.0, 49.0, 16.0, 39.0, 39.0, 39.0, 39.0, 34.0, 30.0, 150.0, 47.0, 48.0, 48.0, 48.0, 48.0, 48.0, 70.0, 175.0, 24.0, 45.0, 45.0, 45.0, 45.0, 290.0, 290.0, 39.0, 260.0, 260.0, 260.0, 260.0, 260.0, 60.0, 60.0, 38.0, 100.0, ...]","[4.0, 3.7143, 2.7436, 5.0, 3.75, 0.0, 0.0, 4.5, 4.6154, 4.6154, 4.6154, 4.2083, 2.8378, 2.8378, 0.0, 0.0, 4.3333, 3.3, 3.3, 3.3, 3.8571, 4.5714, 4.5714, 4.5714, 4.5714, 4.5714, 4.5714, 4.35, 4.0435, 3.0, 4.125, 4.125, 0.0, 0.0, 4.0588, 4.0588, 2.614, 3.5625, 4.2, 3.7143, 3.7143, 3.6047, 3.6047, 3.6047, 5.0, 5.0, 0.0, 5.0, 5.0, 5.0, 0.0, 0.0, 4.0, 4.0, 3.4615, 3.4615, 4.4375, 4.4375, 4.3636, 4.3636, 0.0, 0.0, 0.0, 0.0, 3.2857, 4.5, 4.2308, 4.3, 3.6471, 3.6471, 3.6471, 3.6471, 3.7143, 4.25, 2.6667, 0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.2414, 5.0, 5.0, 4.1127, 4.1127, 4.1127, 4.1127, 4.0345, 4.0345, 3.9, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 3.7664, 4.2846, ...]",59.0,4.00736603774,64.9009433962
Ammonium Acryloydimethyltaurate/VP Copolymer,1,[Jack Black],1.0,0.0,0.0,0.0,1.0,0.0,[38.0],[4.0],1.0,4.0,38.0
Hydrolyzed Caesalpinia Spinosa Gum,1,[Jack Black],1.0,0.0,0.0,0.0,1.0,0.0,[38.0],[4.0],1.0,4.0,38.0
Ceteth-10 Phosphate,1,[Jack Black],1.0,0.0,0.0,0.0,1.0,0.0,[38.0],[4.0],1.0,4.0,38.0
Dicetyl Phosphate,1,[Jack Black],1.0,0.0,0.0,0.0,1.0,0.0,[38.0],[4.0],1.0,4.0,38.0
Cucumis Sativus (Cucumber) Fruit Extract,39,"[Jack Black, DERMAdoctor, Ole Henriksen, Ole Henriksen, Peter Thomas Roth, COVER FX, bareMinerals, Fresh, COOLA, Peter Thomas Roth, Peter Thomas Roth, Fresh, COOLA, Dr. Dennis Gross Skincare, Josie Maran, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Algenist, Fresh, Fresh, COOLA, Fresh, Fresh, GLAMGLOW, Sunday Riley, Fresh, Sunday Riley, GLAMGLOW, Origins, Fresh, boscia, Kopari, Kate Somerville, Origins, Fresh, COVER FX, Kate Somerville, Kate Somerville, Fresh]",5185.0,386.0,363.0,460.0,899.0,3089.0,"[38.0, 85.0, 22.0, 22.0, 28.0, 38.0, 30.0, 33.0, 36.0, 48.0, 48.0, 39.0, 36.0, 65.0, 38.0, 30.0, 30.0, 25.0, 67.0, 38.0, 52.0, 52.0, 45.0, 59.0, 65.0, 40.0, 80.0, 49.0, 60.0, 90.0, 12.0, 44.0, 85.0, 52.0, 67.0, 48.0, 90.0, 90.0, 40.0]","[4.0, 3.9225, 4.0588, 4.1364, 3.25, 3.7396, 4.6129, 3.9381, 3.7174, 4.3235, 4.3235, 4.0784, 4.0294, 4.75, 3.8794, 4.0, 4.0, 4.4, 3.9655, 3.4118, 4.1471, 3.3421, 4.2725, 4.12, 4.2347, 4.4567, 4.2609, 4.0991, 4.5556, 4.169, 3.7664, 5.0, 4.3115, 4.2403, 4.1092, 4.4865, 4.0, 4.0, 4.0811]",17.0,4.10743333333,49.1282051282
Caesalpinia Spinosa Gum,5,"[Jack Black, Jurlique, Caudalie, GLAMGLOW, First Aid Beauty]",533.0,41.0,58.0,56.0,106.0,277.0,"[38.0, 47.0, 44.0, 59.0, 40.0]","[4.0, 3.8235, 4.0571, 4.12, 3.9333]",5.0,3.98678,45.6
Arginine,30,"[Jack Black, Marula, Jurlique, boscia, philosophy, Ole Henriksen, Erborian, Murad, AmorePacific, Laura Mercier, Origins, Erborian, Erborian, Lancôme, Origins, Origins, Perricone MD, Murad, Origins, Peter Thomas Roth, Origins, boscia, philosophy, May Coop, Origins, Caudalie, Tatcha, Origins, Perricone MD, Primary Raw]",6920.0,465.0,394.0,444.0,1336.0,3279.0,"[38.0, 68.0, 47.0, 46.0, 22.0, 22.0, 24.0, 70.0, 100.0, 98.0, 62.0, 39.0, 43.0, 49.0, 43.0, 27.5, 135.0, 39.5, 43.0, 110.0, 60.0, 12.0, 60.0, 43.0, 52.0, 59.0, 150.0, 29.0, 80.0, 46.0]","[4.0, 4.4375, 3.8235, 3.8462, 0.0, 4.0588, 5.0, 4.3571, 4.2846, 4.0, 4.0909, 4.1852, 4.3333, 4.3214, 4.3472, 4.2441, 3.7952, 4.1753, 4.3784, 4.1789, 4.5556, 3.7664, 4.3137, 4.4784, 4.2403, 4.3258, 4.0238, 4.1376, 4.3077, 4.9]",18.0,4.09689666667,57.2333333333
Tetrahexyldecyl Ascorbate,37,"[Jack Black, DERMAdoctor, Dr. Dennis Gross Skincare, Tria, philosophy, Tria, COVER FX, Origins, Origins, boscia, DERMAdoctor, MDSolarSciences, DERMAdoctor, Origins, Origins, Perricone MD, Dr. Dennis Gross Skincare, Origins, Origins, GLAMGLOW, GLAMGLOW, Origins, Ole Henriksen, Origins, tarte, Perricone MD, Ole Henriksen, Murad, Origins, Origins, Perricone MD, COVER FX, Farmacy, Perricone MD, Kate Somerville, Ole Henriksen, Kate Somerville]",6511.0,494.0,432.0,476.0,1139.0,3978.0,"[38.0, 65.0, 42.0, 65.0, 50.0, 60.0, 38.0, 59.0, 43.0, 46.0, 38.0, 39.0, 57.0, 51.0, 59.0, 85.0, 42.0, 51.0, 43.0, 59.0, 69.0, 27.5, 55.0, 43.0, 24.0, 75.0, 48.0, 72.0, 60.0, 59.0, 75.0, 45.0, 48.0, 75.0, 90.0, 50.0, 65.0]","[4.0, 4.1429, 3.6471, 5.0, 0.0, 0.0, 3.7396, 4.6, 4.5773, 3.9933, 3.3798, 4.1739, 4.2283, 4.5625, 3.0, 3.72, 3.5273, 5.0, 4.3472, 4.12, 4.2721, 4.2441, 4.2459, 4.3784, 4.2528, 4.1726, 4.0056, 4.4519, 4.5556, 4.5, 4.4722, 3.6914, 4.3711, 3.96, 4.0, 3.6818, 4.1209]",16.0,3.92258378378,54.3378378378
Bisabolol,40,"[Jack Black, Marula, REN, philosophy, philosophy, philosophy, Eve Lom, philosophy, philosophy, L’Occitane, Peter Thomas Roth, Lancôme, Lancôme, Erno Laszlo, philosophy, Murad, COVER FX, Murad, philosophy, philosophy, Lancer, Eve Lom, Lancer, Josie Maran, Ole Henriksen, KORRES, philosophy, Perricone MD, Ole Henriksen, Murad, philosophy, Peter Thomas Roth, REN, COVER FX, Caudalie, First Aid Beauty, Peter Thomas Roth, COVER FX, Perricone MD, Perricone MD]",5724.0,492.0,403.0,438.0,1001.0,3396.0,"[38.0, 68.0, 45.0, 47.0, 22.0, 75.0, 68.0, 50.0, 35.0, 16.0, 28.0, 49.0, 26.0, 55.0, 47.0, 70.0, 38.0, 78.0, 68.0, 48.0, 82.0, 75.0, 125.0, 32.0, 55.0, 54.0, 52.0, 75.0, 48.0, 72.0, 60.0, 85.0, 45.0, 45.0, 59.0, 40.0, 72.0, 48.0, 75.0, 115.0]","[4.0, 4.4375, 4.1224, 2.8378, 0.0, 3.0, 3.5714, 0.0, 0.0, 3.3333, 3.25, 4.2308, 3.75, 4.8571, 0.0, 4.3571, 3.7396, 3.8, 3.3235, 3.0, 4.1818, 5.0, 4.25, 3.786, 4.2459, 4.5276, 4.614, 4.1726, 4.0056, 4.4519, 4.3137, 4.5874, 4.2645, 3.6914, 4.3258, 3.9333, 3.9859, 4.4865, 3.96, 4.4757]",18.0,3.6217525,57.125
Zingiber Officinale (Ginger) Root Extract,22,"[Jack Black, Farmacy, Kenzoki, MILK MAKEUP, Erborian, Koh Gen Do, AmorePacific, AmorePacific, Algenist, Origins, Origins, Kate Somerville, GLAMGLOW, AmorePacific, KORRES, Ole Henriksen, Peter Thomas Roth, Origins, AmorePacific, Farmacy, Peter Thomas Roth, Kate Somerville]",3599.0,233.0,233.0,281.0,621.0,2233.0,"[38.0, 44.0, 59.0, 22.0, 39.0, 50.0, 100.0, 50.0, 75.0, 65.0, 65.0, 48.0, 69.0, 195.0, 54.0, 48.0, 85.0, 52.0, 50.0, 48.0, 72.0, 65.0]","[4.0, 3.3881, 4.2, 4.6, 4.3333, 3.3333, 4.2846, 4.3214, 3.9053, 4.2083, 4.0, 3.7241, 4.2721, 4.3368, 4.5276, 4.0056, 4.5874, 4.2403, 4.4316, 4.3711, 3.9859, 4.1209]",14.0,4.14444090909,63.3181818182
Camellia Sinensis (White Tea) Leaf Extract,81,"[Jack Black, Caolion, DERMAdoctor, Caolion, philosophy, philosophy, Tria, philosophy, First Aid Beauty, philosophy, Shiseido, Koh Gen Do, Koh Gen Do, AmorePacific, Tria, First Aid Beauty, First Aid Beauty, Jack Black, Primary Raw, Clarins, Fresh, AmorePacific, AmorePacific, First Aid Beauty, First Aid Beauty, philosophy, DERMAdoctor, First Aid Beauty, philosophy, Dr. Dennis Gross Skincare, Dr. Brandt Skincare, philosophy, Laura Mercier, First Aid Beauty, First Aid Beauty, belif, BURBERRY, Primary Raw, Erborian, IT Cosmetics, First Aid Beauty, GLAMGLOW, First Aid Beauty, SEPHORA COLLECTION, AmorePacific, AmorePacific, AmorePacific, IT Cosmetics, IT Cosmetics, Fresh, SEPHORA COLLECTION, Origins, philosophy, IT Cosmetics, Dr. Jart+, Dr. Dennis Gross Skincare, First Aid Beauty, IT Cosmetics, AmorePacific, AmorePacific, AmorePacific, Algenist, IT Cosmetics, Peter Thomas Roth, SK-II, AmorePacific, Origins, First Aid Beauty, AmorePacific, AmorePacific, philosophy, First Aid Beauty, First Aid Beauty, SEPHORA COLLECTION, Peter Thomas Roth, First Aid Beauty, Primary Raw, Primary Raw, Shiseido, Dr. Brandt Skincare, Kate Somerville]",16277.0,865.0,946.0,1122.0,2771.0,5790.0,"[38.0, 40.0, 85.0, 38.0, 75.0, 14.0, 65.0, 35.0, 34.0, 47.0, 175.0, 85.0, 55.0, 195.0, 60.0, 38.0, 22.0, 30.0, 46.0, 86.0, 39.0, 50.0, 35.0, 30.0, 38.0, 36.0, 57.0, 16.0, 68.0, 30.0, 59.0, 24.0, 98.0, 26.0, 20.0, 38.0, 44.0, 38.0, 55.0, 38.0, 30.0, 69.0, 36.0, 4.0, 195.0, 195.0, 195.0, 48.0, 38.0, 92.0, 23.0, 44.0, 75.0, 32.0, 36.0, 88.0, 24.0, 38.0, 150.0, 150.0, 150.0, 96.0, 35.0, 85.0, 385.0, 50.0, 44.0, 12.0, 195.0, 195.0, 40.0, 40.0, 30.0, 23.0, 72.0, 28.0, 46.0, 46.0, 100.0, 132.0, 90.0]","[4.0, 3.75, 3.9225, 4.2083, 3.0, 0.0, 5.0, 0.0, 3.7143, 0.0, 5.0, 4.375, 4.0, 3.5, 0.0, 3.7664, 4.1505, 5.0, 3.8462, 3.9524, 4.0784, 4.3214, 4.3539, 3.9259, 4.032, 3.9431, 4.2283, 4.0, 3.3235, 4.0, 4.2432, 4.3, 4.0, 3.4597, 4.6667, 3.8333, 4.2857, 4.4444, 5.0, 4.3714, 4.596, 4.2721, 4.3182, 4.1629, 4.3368, 4.3368, 4.3368, 4.6538, 3.84, 4.0448, 4.3517, 3.9722, 4.037, 4.2895, 4.163, 4.1176, 4.2091, 3.5556, 4.1667, 4.1667, 4.1667, 4.3546, 3.5, 4.5874, 3.6667, 4.4316, 4.0902, 5.0, 3.8125, 3.8125, 3.6575, 3.9333, 3.8197, 4.3135, 3.9859, 4.4706, 4.9, 4.9, 4.6667, 4.0909, 4.0]",27.0,3.95165555556,68.6172839506
Spirulina Maxima Extract,1,[Jack Black],1.0,0.0,0.0,0.0,1.0,0.0,[38.0],[4.0],1.0,4.0,38.0
Tetrapeptide-21,11,"[Jack Black, philosophy, Dr. Dennis Gross Skincare, COVER FX, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, philosophy, Dr. Dennis Gross Skincare, Algenist, Algenist]",1779.0,136.0,96.0,112.0,317.0,1118.0,"[38.0, 22.0, 42.0, 38.0, 62.0, 65.0, 72.0, 60.0, 78.0, 94.0, 94.0]","[4.0, 0.0, 2.614, 3.7396, 4.125, 4.75, 4.1625, 4.3137, 4.3426, 4.3385, 4.3613]",5.0,3.70429090909,60.4545454545
Hexylene Glycol,54,"[Jack Black, DERMAdoctor, Kate Somerville, philosophy, Perricone MD, Origins, philosophy, Ole Henriksen, philosophy, philosophy, philosophy, Lancôme, philosophy, Algenist, Origins, Algenist, bareMinerals, GLAMGLOW, Peter Thomas Roth, Lancer, DERMAdoctor, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Algenist, philosophy, Drunk Elephant, Origins, GLAMGLOW, GLAMGLOW, Origins, philosophy, tarte, philosophy, GLAMGLOW, Origins, Perricone MD, Origins, Fresh, Dr. Dennis Gross Skincare, Algenist, Algenist, Origins, Origins, stila, Kate Somerville, Algenist, Perricone MD, COVER FX, Origins, Algenist, Origins, Origins, Algenist, Algenist]",9591.0,685.0,627.0,705.0,1655.0,5933.0,"[38.0, 65.0, 175.0, 47.0, 69.0, 53.0, 16.0, 22.0, 30.0, 50.0, 35.0, 49.0, 47.0, 70.0, 59.0, 48.0, 20.0, 69.0, 48.0, 185.0, 38.0, 65.0, 75.0, 78.0, 48.0, 90.0, 43.0, 59.0, 69.0, 27.5, 47.0, 39.0, 52.0, 49.0, 43.0, 75.0, 60.0, 90.0, 72.0, 94.0, 96.0, 53.0, 59.0, 38.0, 65.0, 94.0, 75.0, 45.0, 52.0, 98.0, 44.0, 29.0, 28.0, 94.0]","[4.0, 4.1429, 0.0, 2.8378, 3.3, 4.0435, 0.0, 4.1364, 4.2, 0.0, 0.0, 4.2308, 0.0, 3.2414, 4.6, 4.5909, 4.0617, 3.9591, 4.3235, 5.0, 3.3798, 4.75, 3.9, 4.3333, 3.0, 4.2724, 4.3472, 4.12, 4.2721, 4.2441, 4.0538, 4.3934, 4.614, 4.0991, 4.3784, 4.2579, 4.5556, 4.169, 4.1625, 4.4619, 4.3546, 4.1067, 4.5, 4.1306, 4.1631, 4.3385, 4.4722, 3.6914, 4.2403, 4.087, 4.0902, 4.1376, 4.4634, 4.3613]",19.0,3.7698037037,60.712962963
Phenoxyethanol Certified Organic,1,[Jack Black],1.0,0.0,0.0,0.0,1.0,0.0,[38.0],[4.0],1.0,4.0,38.0
Methoxycinnamidopropyl Hydroxysultaine,1,[Farmacy],134.0,15.0,21.0,30.0,33.0,35.0,[44.0],[3.3881],1.0,3.3881,44.0
Patented Echinacea Purpurea ‘Greenenvytm’ Root Extract,1,[Farmacy],134.0,15.0,21.0,30.0,33.0,35.0,[44.0],[3.3881],1.0,3.3881,44.0
Equisetum Arvense Juice,1,[Farmacy],134.0,15.0,21.0,30.0,33.0,35.0,[44.0],[3.3881],1.0,3.3881,44.0
Oleth-20,2,"[Farmacy, Ole Henriksen]",156.0,18.0,21.0,32.0,36.0,49.0,"[44.0, 22.0]","[3.3881, 4.1364]",2.0,3.76225,33.0
Actinidia Chinensis (Kiwi) Fruit Extract,2,"[Farmacy, Clarins]",160.0,17.0,21.0,31.0,37.0,54.0,"[44.0, 56.0]","[3.3881, 4.4615]",2.0,3.9248,50.0
Melia Azadirachta Leaf Extract,9,"[Farmacy, belif, Koh Gen Do, Blithe, boscia, Farmacy, boscia, Farmacy, Laura Mercier]",2987.0,170.0,174.0,204.0,504.0,469.0,"[44.0, 48.0, 55.0, 49.0, 28.0, 40.0, 30.0, 48.0, 62.0]","[3.3881, 4.6154, 3.7727, 5.0, 3.932, 3.3873, 4.4746, 4.3711, 4.451]",6.0,4.15468888889,44.8888888889
Mentha Piperita (Peppermint) Oil,8,"[Farmacy, Anthony, Caolion, Caolion, Dr. Dennis Gross Skincare, Blithe, Lancer, tarte]",519.0,55.0,53.0,74.0,104.0,233.0,"[44.0, 38.0, 40.0, 38.0, 62.0, 46.0, 125.0, 25.0]","[3.3881, 2.7436, 3.75, 4.2083, 4.125, 5.0, 3.6, 4.0375]",7.0,3.8565625,52.25
Melia Azadirachta Flower Extract,5,"[Farmacy, belif, Blithe, boscia, Farmacy]",2375.0,96.0,114.0,142.0,396.0,161.0,"[44.0, 48.0, 49.0, 30.0, 48.0]","[3.3881, 4.6154, 5.0, 4.4746, 4.3711]",4.0,4.36984,43.8
Coccinia Indica Fruit Extract,7,"[Farmacy, belif, Blithe, Farmacy, Sunday Riley, boscia, Farmacy]",2839.0,151.0,152.0,179.0,455.0,437.0,"[44.0, 48.0, 49.0, 40.0, 80.0, 30.0, 48.0]","[3.3881, 4.6154, 5.0, 3.3873, 4.2609, 4.4746, 4.3711]",5.0,4.21391428571,48.4285714286
Citrus Aurantium Dulcis (Orange) Oil,119,"[Farmacy, MILK MAKEUP, Anthony, Anthony, Marula, belif, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Origins, L’Occitane, Origins, philosophy, philosophy, Ole Henriksen, Ole Henriksen, MILK MAKEUP, philosophy, philosophy, Kate Somerville, Origins, Origins, Origins, Origins, Origins, Origins, Omorovicza, Origins, COOLA, Peter Thomas Roth, AmorePacific, Josie Maran, boscia, boscia, boscia, Blithe, philosophy, First Aid Beauty, philosophy, Dr. Dennis Gross Skincare, Origins, Origins, REN, philosophy, Omorovicza, Dr. Brandt Skincare, Dr. Brandt Skincare, Origins, Origins, Origins, Origins, Origins, Origins, Origins, Origins, First Aid Beauty, First Aid Beauty, First Aid Beauty, boscia, St. Tropez Tanning Essentials, REN, REN, boscia, boscia, Origins, Origins, Dr. Dennis Gross Skincare, Dr. Dennis Gross Skincare, Origins, COOLA, Origins, Kate Somerville, IT Cosmetics, Origins, Origins, Origins, Origins, Sunday Riley, Origins, IT Cosmetics, Ole Henriksen, Son &amp; Park, Son &amp; Park, IT Cosmetics, tarte, Origins, Origins, philosophy, Origins, Origins, Origins, Origins, Herbivore, Ole Henriksen, Origins, Origins, Origins, Fresh, Origins, boscia, Origins, ...]",15487.0,1018.0,1065.0,1156.0,2768.0,9506.0,"[44.0, 24.0, 38.0, 38.0, 68.0, 26.0, 42.0, 42.0, 41.0, 108.0, 53.0, 75.0, 14.0, 22.0, 22.0, 38.0, 35.0, 47.0, 65.0, 59.0, 59.0, 43.0, 43.0, 43.0, 43.0, 90.0, 43.0, 36.0, 98.0, 50.0, 38.0, 36.0, 28.0, 34.0, 46.0, 36.0, 16.0, 68.0, 30.0, 51.0, 51.0, 38.0, 24.0, 50.0, 155.0, 155.0, 59.0, 59.0, 65.0, 65.0, 62.0, 62.0, 65.0, 65.0, 20.0, 20.0, 20.0, 38.0, 35.0, 50.0, 50.0, 36.0, 36.0, 60.0, 60.0, 42.0, 42.0, 51.0, 52.0, 43.0, 48.0, 38.0, 43.0, 43.0, 43.0, 43.0, 105.0, 27.5, 48.0, 55.0, 30.0, 30.0, 38.0, 39.0, 44.0, 44.0, 75.0, 43.0, 43.0, 43.0, 43.0, 58.0, 48.0, 37.0, 60.0, 60.0, 90.0, 53.0, 46.0, 59.0, ...]","[3.3881, 4.3824, 2.7436, 2.7436, 4.4375, 3.625, 3.6471, 3.6471, 4.5714, 4.1905, 4.0435, 3.0, 0.0, 3.8889, 3.8889, 3.9394, 0.0, 0.0, 4.1818, 4.6, 4.6, 4.5773, 4.5773, 4.5773, 4.5773, 4.381, 4.3704, 3.7174, 4.0, 4.3214, 3.8794, 4.15, 3.932, 4.2056, 5.0, 3.9431, 4.0, 3.3235, 4.0, 4.5625, 4.5625, 3.8485, 4.3, 5.0, 3.5294, 3.5294, 3.0, 3.0, 4.2083, 4.2083, 4.0909, 4.0909, 4.0, 4.0, 4.6667, 4.6667, 4.6667, 4.2188, 3.8571, 4.3333, 4.3333, 3.6237, 3.6237, 5.0, 5.0, 3.5273, 3.5273, 5.0, 4.1471, 4.3117, 3.7241, 4.3714, 4.3472, 4.3472, 4.3472, 4.3472, 4.1174, 4.2441, 4.6538, 4.2459, 4.8909, 4.8909, 3.84, 4.3934, 3.9722, 3.9722, 4.037, 4.3784, 4.3784, 4.3784, 4.3784, 3.8071, 4.0056, 4.1717, 4.5556, 4.5556, 4.169, 4.1067, 4.5188, 4.5, ...]",30.0,4.04848823529,49.5
Ocimum Basilicum (Basil) Flower/Leaf Extract,3,"[Farmacy, belif, boscia]",2212.0,89.0,102.0,134.0,376.0,45.0,"[44.0, 48.0, 30.0]","[3.3881, 4.6154, 4.4746]",3.0,4.15936666667,40.6666666667
