,n_products,n_brands,n_reviews,n_firststar,n_secondstar,n_thirdstar,n_fourstar,n_fivestar,price,avg_reviews,n_brand,avg_review,price_v
Dimethyl MEA,4,"[Perricone MD, Perricone MD, Perricone MD, Perricone MD]",106.0,11.0,5.0,11.0,13.0,66.0,"[115.0, 155.0, 85.0, 75.0]","[4.0, 4.6, 3.72, 4.4722]",1.0,4.19805,107.5
Thioctic Acid,4,"[Perricone MD, J.One, Perricone MD, Perricone MD]",373.0,23.0,33.0,38.0,57.0,223.0,"[115.0, 50.0, 75.0, 75.0]","[4.0, 3.9091, 4.1726, 3.96]",2.0,4.010425,78.75
Phosphatidylcholine,5,"[Perricone MD, Perricone MD, Perricone MD, Perricone MD, Perricone MD]",376.0,49.0,23.0,29.0,50.0,225.0,"[115.0, 290.0, 155.0, 135.0, 80.0]","[4.0, 4.0345, 4.6, 3.7952, 4.3077]",1.0,4.14748,155.0
Egg Shell Membrane Extract,2,"[Perricone MD, Perricone MD]",20.0,1.0,1.0,1.0,2.0,15.0,"[115.0, 155.0]","[4.0, 4.6]",1.0,4.3,135.0
Acetyl Tyrosine,2,"[Perricone MD, Perricone MD]",41.0,2.0,1.0,3.0,7.0,28.0,"[115.0, 75.0]","[4.0, 4.4722]",1.0,4.2361,95.0
Octocrylene,4,"[Too Cool For School, Skin Inc., Caudalie, SEPHORA COLLECTION]",409.0,81.0,48.0,35.0,91.0,154.0,"[49.0, 45.0, 44.0, 0.0]","[3.4615, 4.0, 4.0571, 3.3978]",4.0,3.7291,34.5
Octinoxate,2,"[Too Cool For School, Dior]",659.0,68.0,58.0,72.0,111.0,350.0,"[49.0, 60.0]","[3.4615, 3.9458]",2.0,3.70365,54.5
Ensulizole,1,[Too Cool For School],13.0,2.0,2.0,1.0,4.0,4.0,[49.0],[3.4615],1.0,3.4615,49.0
Ceresin,1,[Too Cool For School],13.0,2.0,2.0,1.0,4.0,4.0,[49.0],[3.4615],1.0,3.4615,49.0
Sucrose Tetrastearate Triacetate,1,[Too Cool For School],13.0,2.0,2.0,1.0,4.0,4.0,[49.0],[3.4615],1.0,3.4615,49.0
Microcrystalline Wax/Cire Microcristalline,1,[Too Cool For School],13.0,2.0,2.0,1.0,4.0,4.0,[49.0],[3.4615],1.0,3.4615,49.0
Ethyl Hexanediol,2,"[Too Cool For School, AmorePacific]",280.0,16.0,12.0,23.0,65.0,164.0,"[49.0, 100.0]","[3.4615, 4.2846]",2.0,3.87305,74.5
Methicone,9,"[Too Cool For School, SK-II, SK-II, First Aid Beauty, Josie Maran, IT Cosmetics, Giorgio Armani Beauty, First Aid Beauty, Erborian]",1671.0,186.0,159.0,168.0,268.0,893.0,"[49.0, 260.0, 225.0, 30.0, 32.0, 32.0, 55.0, 40.0, 39.0]","[3.4615, 3.0, 4.4464, 3.9259, 3.786, 4.2895, 4.4074, 3.9333, 4.3478]",7.0,3.95531111111,84.6666666667
Sorbitan Sesquioleate,6,"[Too Cool For School, AmorePacific, REN, Fresh, IT Cosmetics, Farmacy]",539.0,36.0,30.0,43.0,96.0,335.0,"[49.0, 100.0, 38.0, 52.0, 38.0, 48.0]","[3.4615, 4.2846, 4.6364, 3.3421, 3.5556, 4.3711]",6.0,3.94188333333,54.1666666667
Artemia Extract,3,"[Too Cool For School, Laura Mercier, Murad]",70.0,5.0,11.0,6.0,15.0,33.0,"[49.0, 42.0, 40.0]","[3.4615, 4.3, 3.7568]",3.0,3.83943333333,43.6666666667
Undaria Pinnatifida Extract,6,"[Too Cool For School, boscia, boscia, boscia, boscia, Kate Somerville]",1270.0,82.0,81.0,88.0,187.0,834.0,"[49.0, 28.0, 34.0, 38.0, 46.0, 48.0]","[3.4615, 3.932, 4.2056, 4.2188, 4.5188, 5.0]",3.0,4.22278333333,40.5
Iron Oxides (Ci 77491,4,"[Too Cool For School, Dr. Brandt Skincare, bareMinerals, Origins]",599.0,32.0,46.0,63.0,125.0,333.0,"[49.0, 39.0, 20.0, 37.0]","[3.4615, 3.9, 4.0617, 4.1717]",4.0,3.898725,36.25
Ci 77492,5,"[Too Cool For School, Dr. Brandt Skincare, bareMinerals, Origins, IT Cosmetics]",617.0,36.0,47.0,65.0,128.0,342.0,"[49.0, 39.0, 20.0, 37.0, 38.0]","[3.4615, 3.9, 4.0617, 4.1717, 3.5556]",5.0,3.8301,36.6
Ci 77499),5,"[Too Cool For School, Dr. Brandt Skincare, bareMinerals, IT Cosmetics, Origins]",739.0,41.0,53.0,70.0,145.0,432.0,"[49.0, 39.0, 20.0, 38.0, 37.0]","[3.4615, 3.9, 4.0617, 4.3714, 4.1717]",5.0,3.99326,36.6
Boron Nitride,8,"[Kenzoki, Guerlain, SK-II, boscia, Peter Thomas Roth, Origins, Dr. Jart+, SK-II]",385.0,19.0,30.0,33.0,84.0,221.0,"[49.0, 150.0, 225.0, 36.0, 42.0, 59.0, 52.0, 240.0]","[4.4375, 2.6667, 4.4464, 3.9222, 4.5192, 3.0, 4.1304, 4.5909]",7.0,3.9641625,106.625
Paeonia Suffruticosa Root Extract,12,"[Kenzoki, Algenist, Koh Gen Do, Koh Gen Do, Koh Gen Do, Blithe, Shiseido, Fresh, Fresh, Shiseido, Fresh, Shiseido]",331.0,39.0,28.0,28.0,49.0,187.0,"[49.0, 70.0, 55.0, 85.0, 55.0, 42.0, 57.0, 67.0, 52.0, 90.0, 67.0, 100.0]","[4.4375, 3.2414, 3.7727, 4.375, 4.0, 4.9, 3.9091, 3.9655, 3.3421, 4.3333, 4.1092, 4.6667]",6.0,4.08770833333,65.75
